company,website,institution_category
First National Bank Texas,https://www.fnbtexas.com,community_bank
Lake Michigan Credit Union,https://www.lmcu.org,credit_union
Community Bank of the Chesapeake,https://www.bankchesapeake.com,community_bank
Navy Federal Credit Union,https://www.navyfederal.org,credit_union
Bank of the Ozarks,https://www.bankozarks.com,community_bank
Alliant Credit Union,https://www.alliantcreditunion.org,credit_union
Berkshire Bank,https://www.berkshirebank.com,community_bank
Pentagon Federal Credit Union,https://www.penfed.org,credit_union
East West Bank,https://www.eastwestbank.com,community_bank
Golden 1 Credit Union,https://www.golden1.com,credit_union
